,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0182,0.005765459371744,,-0.0287,15.161995641330233,0.0,0.0
1,1.5,0.0206,0.006525539371744,,-0.0282,15.177495641330234,0.026881,0.023358
2,3.0,0.025,0.007919019371744,,-0.0258,15.161995641330233,0.12292,0.061301
3,4.5,0.0356,0.011277527187928,,-0.0187,15.168996591862914,0.15611,0.11333
4,6.0,0.0331,0.010485777187928,,-0.02,15.108996591862915,0.22419,0.15415
5,7.5,0.0393,0.01245098166174,,-0.0175,15.056008995693764,0.36325,0.21879
6,9.0,0.0479,0.015176643928271,,-0.011,15.044032962517283,0.48108,0.2866
7,11.000000000058208,0.0675,0.021386861222251,,0.0006,14.926054281556008,0.73396,0.43302
8,12.999999999941792,0.0857,0.027158208031307,,0.0096,14.834598238360988,0.98799,0.61331
9,15.0,0.112,0.035493192557714,,0.0231,14.697988038317757,1.3082,0.89702
10,17.000000000058208,0.1431,0.045372972768183,,0.0381,14.460672451159777,1.7288,1.2699
11,18.999999999941792,0.179,0.056774355506522,,0.065,14.218641352901251,2.3926,1.7862
12,21.0,0.208,0.06602359518543,0.085333333333334,0.091,13.907302388588937,3.231,2.5577
13,23.00000138883479,0.246,0.078144049690264,,0.1194,13.628749858862456,4.3789,3.6029
14,25.0000027778442,0.28,0.088995742133342,,0.1493,13.061533920244893,5.5862,4.8073
15,27.00000416667899,0.352,0.111994175997804,0.174999999999992,0.2,12.440737227389526,7.2566,6.342
16,29.00000555551378,0.417,0.132751369372061,0.190000000000001,0.2445,11.789916938406854,9.8405,8.5922
17,31.000006944523196,0.449,0.143074252928473,0.209999999999999,0.3088,11.023358238669326,12.73,10.654
18,33.00000833335798,0.483,0.154074583500773,0.205000000000011,0.3364,10.201147091761015,15.036,13.286
19,35.000009722192765,0.61,0.198557359104113,0.249999999999995,0.4039,9.353437699108795,17.034,15.969
20,37.00001111102756,0.779,0.252419807143946,0.325000000000009,0.4606,8.328433152533803,19.688,18.675
21,39.16666666668607,0.9,0.292554580483001,0.345000000000006,0.5115,7.378360542434084,22.838,22.136
22,41.00001388887176,1.046,0.339241681325516,0.409999999999999,0.5314,6.448548721501352,24.901,24.572
23,43.00001527770655,1.241,0.401415811775153,0.429999999999997,0.532,5.740210818186098,26.843,27.527
24,45.000016666715965,1.35,0.436122604907456,0.450000000000006,0.526,4.958693325960288,28.502,30.203
25,47.000018055550754,1.52,0.490176560298488,0.479999999999992,0.521,4.26191092752495,30.012,32.739
26,49.000019444385536,1.71,0.55059725726889,0.599999999999978,0.51,3.647388491406288,31.533,34.767
27,51.0,1.9,0.610978415111893,,0.498,3.041796217762026,32.955,36.707
28,53.00000000005821,2.1,0.674318415111893,0.700000000000012,0.49,2.507296217762027,34.256,38.521
29,54.99999999994179,2.24,0.718656415111893,0.609999999999977,0.488,1.974296217762027,35.455,40.087
30,57.0,2.39,0.766161415111893,0.740000000000007,0.475,1.419796217762027,36.625,41.525
31,59.00000000005821,2.56,0.820000415111893,0.72000000000001,0.4685,0.935796217762027,37.779,42.926
32,60.99999999994179,2.71,0.867935967173573,0.829999999999997,0.458,0.58087798812458,38.851,44.555
33,63.0,2.73,0.875151333785161,0.859999999999994,0.451,0.0,39.68,45.826
34,65.00000000005821,2.76,0.884652333785161,0.690000000000013,0.429,0.0,40.183,46.694
35,66.99999999994179,2.73,0.875151333785161,0.710000000000011,0.42,0.0,40.656,47.144
36,71.00000000005821,2.72,0.871984333785161,0.710000000000011,0.407,0.0,41.482,47.897
37,75.0,2.7,0.865650333785161,0.649999999999995,0.399,0.0,42.232,48.599
