,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0223,0.00766674,,-0.0336,14.447105,0.0,0.0
1,1.5,0.0264,0.00907632,,-0.034,14.789167,0.020732,-0.0050144
2,3.0,0.0315,0.0108297,,-0.0339,14.6059825,0.11211,0.01665
3,4.5,0.0375,0.0128925,,-0.0348,14.486591,0.20898,0.053189
4,6.0,0.0454,0.01560852,,-0.0313,14.6834395,0.32443,0.10379
5,7.5,0.057,0.01961750956585,,-0.035,14.613912920314885,0.4544,0.17545
6,9.0,0.0746,0.02566838956585,,-0.033,14.30888492031488,0.66784,0.25888
7,10.5,0.0936,0.03223536457799,,-0.0337,14.49862014480084,0.92218,0.37671
8,12.0,0.1296,0.044637278341246,,-0.0319,14.17876926651865,1.2514,0.53302
9,14.000000000058208,0.182,0.062686626124892,,-0.0317,14.378197176775975,1.8973,0.78764
10,15.999999999941792,0.2501,0.086146747721829,,-0.0303,13.883417579653017,2.7803,1.1943
11,17.999997222272214,0.3065,0.105595465989863,0.128666666666667,-0.0317,13.544055726632028,4.0746,1.7699
12,19.999995833379216,0.4078,0.140422405989863,,-0.0255,13.290571726632027,5.7839,2.6189
13,21.999994444486216,0.485,0.167068485702116,0.129999999999986,-0.0232,12.94962740543778,7.7174,3.6342
14,23.999993055593222,0.576,0.199078684033177,0.260000000000005,-0.0151,12.3658159166793,10.161,4.8564
15,25.999991666700225,0.786,0.271276684033177,0.295000000000001,-0.0093,11.079433916679298,13.143,6.4004
16,27.99999027780723,1.018,0.351504098759055,0.409999999999999,0.0215,10.585305767206904,16.741,8.2086
17,29.99998888891423,1.311,0.454093673510334,0.484999999999991,0.0778,9.341514200260487,20.929,10.341
18,31.999987500021238,1.6,0.554028404712619,0.560000000000005,0.161,7.767560706926136,25.976,13.041
19,33.99998611112824,1.9,0.668119969661115,0.670000000000004,0.214,6.456666988030255,32.087,16.314
20,35.99998472223524,2.173,0.772108206315877,0.739999999999996,0.2948,4.47701456468651,39.077,20.073
21,37.99998333334224,2.524,0.896513957104626,0.855000000000006,0.3668,2.638952228809457,46.893,24.274
22,39.999981944449246,3.025,1.0736658526112,0.990000000000002,0.408,0.753453113748969,55.461,29.221
23,41.99998055555625,2.946,1.048416549228118,1.019999999999999,0.4698,0.0,64.253,34.719
24,43.999979166663245,2.704,0.970226134200099,1.025000000000009,0.5031,0.0,69.288,39.277
25,45.999977777770255,2.507,0.904569850526722,0.979999999999992,0.51,0.0,72.488,42.487
26,47.99997638887726,2.43,0.881148026784364,0.990000000000002,0.5005,0.0,74.777,45.149
27,54.0,1.755,0.650677058321011,0.874999999999992,0.4674,0.0,79.351,50.945
