,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0223,0.00813727,,-0.0249,16.567864,0.0,0.0
1,2.000000000058208,0.0234,0.008540991441496,,-0.0306,16.488354339716874,0.060813,0.04969
2,3.999999999941792,0.0265,0.009674091237112,,-0.0283,16.137292437304563,0.15137,0.11536
3,6.0,0.0285,0.010404700158669,,-0.025,15.319898382668065,0.23844,0.17077
4,8.000000000058208,0.0337,0.012302180158669,,-0.0195,15.17946459886673,0.309,0.22718
5,9.999999999941792,0.0369,0.013472022350669,,-0.0168,16.04964509886673,0.38966,0.28317
6,12.0,0.0387,0.014128842350669,,-0.0144,15.92867159886673,0.47421,0.34324
7,14.000000000058208,0.0437,0.015953342350669,,-0.0087,15.688080613762024,0.59047,0.41039
8,15.999999999941792,0.0495,0.018072724547318,,-0.005,15.910022113762029,0.71163,0.48677
9,18.0,0.0543,0.019824244547318,,-0.0031,16.028958608443716,0.87049,0.57686
10,20.000000000058208,0.0618,0.022562903380339,,0.004,16.253165424756247,1.0332,0.6746
11,21.999999999941792,0.0699,0.025522786242076,,0.0142,15.93787442754688,1.2252,0.77389
12,24.0,0.0753,0.027497878598344,,0.0225,16.01056578410139,1.4142,0.8764
13,26.000000000058208,0.085,0.031040089281702,,0.0265,16.087748643396843,1.6128,0.98807
14,27.999999999941792,0.094,0.03432706828466,,0.03,15.997977435883154,1.8529,1.1199
15,30.0,0.1047,0.038241426714849,,0.0428,15.592351707244031,2.113,1.2662
16,32.00000000005821,0.114,0.041642210685072,,0.033,15.81784430242911,2.3783,1.4324
17,33.99999999994179,0.127,0.046389884297297,,0.037,15.58109420556882,2.636,1.6125
18,36.50000000005821,0.1455,0.053149875788784,,0.0471,15.420966200995723,3.0563,1.8623
19,39.000001388951205,0.168,0.061370990525637,,0.052,15.285902499162969,3.5014,2.1575
20,42.0,0.1964,0.071753226309401,,0.0685,14.832678614819228,4.126,2.5737
21,44.9999986110488,0.228,0.083299028304785,,0.095,14.63584992475218,4.8661,3.0592
22,47.999997222272206,0.272,0.099372610816739,,0.1143,14.885641698262418,5.7667,3.6528
23,50.99999583332101,0.321,0.117274092280073,0.099333333333333,0.1366,14.083403425296764,6.8799,4.3862
24,53.99999444436981,0.39,0.142496429710976,,0.1743,13.570542213505467,8.2098,5.2332
25,56.999993055593215,0.464,0.169534633032029,0.130000000000008,0.2064,12.953842138102583,9.7295,6.2403
26,59.99999166664202,0.567,0.207230945511596,0.205000000000011,0.2552,12.718759638102584,11.507,7.4517
27,62.999990277690806,0.681,0.248829545511596,0.239999999999996,0.306,11.847892043784816,14.026,9.0382
28,65.99998888891423,0.773,0.282463833472786,0.309999999999999,0.3667,11.298756761508004,16.757,10.84
29,68.99998749996303,0.881,0.322131708072154,0.365000000000004,0.4454,10.425550639683069,19.828,13.036
30,71.99998611118644,1.012,0.37019510386913,0.334999999999985,0.5205,9.803783577015995,23.166,15.383
31,74.00000000005821,1.099,0.402183030657531,0.389999999999996,0.5743,9.242497674046476,25.648,17.148
32,75.99999999994179,1.156,0.42349791759712,0.424999999999998,0.6165,8.616139413338884,28.24,19.019
33,78.0,1.33,0.487553976146137,0.480000000000003,0.666,7.644518434820089,30.964,20.966
34,80.00000000005821,1.39,0.509931963919856,0.529999999999997,0.706,6.830174810840729,33.82,23.081
35,81.99999999994179,1.5,0.550660894702586,0.540000000000007,0.746,6.271311713341638,36.7,25.235
36,84.0,1.49,0.548274754172304,0.524999999999998,0.7751,5.790155079379658,39.713,27.491
37,86.00000000005821,1.5,0.552297296696731,0.530000000000008,0.813,5.101185209710489,42.64,29.816
38,96.0,1.495,0.554113919727735,0.560000000000005,0.9584,2.244494209710489,56.139,40.734
