,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0192,0.005232,,-0.0337,15.0986585,0.0,0.0
1,1.5,0.0234,0.0063765,,-0.0844,15.062036249999998,0.037957,0.041648
2,3.0,0.0321,0.00874725,,-0.0378,14.1676995,0.10265,0.10965
3,4.5,0.0441,0.01201725,,-0.035,14.15988625,0.20381,0.19306
4,6.0,0.0574,0.015648475502046,,-0.0348,14.203886558607184,0.34881,0.30191
5,7.5,0.0808,0.022024975502046,,-0.0313,14.161334808607188,0.54269,0.48946
6,9.0,0.1167,0.031807725502046,,-0.03,13.852685808607188,0.86485,0.73025
7,10.5,0.1542,0.042026475502046,,-0.018,14.034146808607186,1.3401,1.0617
8,12.0,0.2123,0.057867772183364,,0.002,13.64969023210464,1.9809,1.5065
9,13.5,0.2695,0.07346592837798,0.078,0.0358,12.768846387079746,2.8081,2.1003
10,15.0,0.3485,0.095091966175231,,0.0752,11.878845420368116,3.725,2.9566
11,16.5,0.45,0.122843132493968,0.070000000000003,0.1208,10.570027172464403,4.6425,3.9252
12,18.0,0.548,0.149698469802117,0.160000000000005,0.1692,10.091500704119612,5.7728,5.028
13,19.5,0.715,0.19538152419028,0.220000000000009,0.2285,8.921661451407068,7.1807,6.3551
14,21.0,0.873,0.238742817897981,0.234999999999996,0.3033,7.247439546903061,8.8658,7.7855
15,22.5,1.082,0.296138838595953,0.304999999999989,0.3925,5.969755423562223,10.825,9.6078
16,24.0,1.355,0.37130889887341,0.420000000000009,0.5238,3.856205134169851,13.067,11.586
17,25.5,1.65,0.452837650070981,0.3965,0.6603,1.754440500222284,15.824,14.216
18,27.0,1.853,0.509359453147416,0.51000000000001,0.7715,0.095722521364054,18.914,17.454
19,28.5,1.733,0.47781202867331,0.300000000000011,0.7875,0.0,21.185,20.069
20,30.0,1.644,0.454326825606245,0.370000000000004,0.7785,0.0,22.322,21.91
21,31.5,1.508,0.417665018865982,0.439999999999996,0.7791,0.0,23.38,23.418
22,48.0,0.956,0.268012254604824,0.185000000000002,0.7159,0.0,32.895,33.09
