,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.018,0.0051552,,-0.0159,13.9652775,0.0,0.0
1,2.000000000058208,0.0212,0.006073596980267,,-0.0121,13.859867523471804,0.047885,0.012371
2,3.999999999941792,0.0244,0.006992626132436,,-0.009,13.861625550387474,0.13213,0.061734
3,6.0,0.0284,0.008140592683403,,-0.0048,13.907081954013575,0.231,0.14078
4,8.000000000058208,0.0354,0.010147118702755,,-0.0004,13.872920027414716,0.40032,0.25023
5,9.999999999941792,0.046,0.013183568251893,,0.0055,13.795708561199133,0.61434,0.38364
6,11.833333333313933,0.0564,0.016162880650822,,0.0107,13.707689763630333,0.88332,0.54296
7,14.000000000058208,0.0697,0.019976716011333,,0.02,13.519772555207147,1.272,0.79821
8,15.999999999941792,0.0901,0.025821712345844,,0.0325,13.547033056253577,1.7487,1.0997
9,18.0,0.1119,0.032075951463832,,0.0471,13.359762777412,2.369,1.515
10,20.000000000058208,0.1363,0.039071582271698,,0.067,13.371862426775529,3.1384,2.0521
11,21.999999999941792,0.1617,0.046350686665067,,0.0903,13.300063102562891,4.068,2.7131
12,24.0,0.199,0.057038935923572,,0.1351,13.28221915865802,5.0944,3.5145
13,26.000000000058208,0.249,0.07136590302134,,0.1907,13.154555143686917,6.3997,4.5231
14,27.999999999941792,0.3141,0.090023983066817,0.094666666666667,0.2534,12.645514293403462,8.0953,5.768
15,30.0,0.386,0.110616143066817,,0.332,12.546229293403462,10.316,7.4902
16,32.00000000005821,0.4817,0.138024623066817,0.154999999999994,0.417,12.092654793403463,12.968,9.5011
17,33.99999999994179,0.609,0.174483343066817,0.155000000000005,0.5177,11.494829793403463,16.13,11.89
18,36.0,0.697,0.199686543066817,0.205,0.6281,11.065112293403462,19.977,14.796
19,38.49999999994179,0.889,0.254675343066817,0.275000000000003,0.7802,10.149590793403462,25.748,19.2
20,41.00000000005821,1.141,0.326848143066817,0.340000000000007,0.9138,9.285489793403462,32.922,24.74
21,43.500001388951205,1.42,0.408225833721103,0.465000000000004,1.0361,8.26787528447643,41.676,31.991
22,46.0000027778442,1.692,0.487556850003996,,1.179,7.140980236031397,51.825,40.791
23,48.5000041667372,2.063,0.59492401213375,0.605,1.1815,6.009830031163588,63.335,50.93
24,50.75000000005821,2.347,0.677854201013127,0.625000000000009,1.213,4.791628533035067,75.104,60.976
25,53.00000000005821,2.604,0.753479237445426,0.72000000000001,1.2242,3.614234753733583,87.864,72.70399999999998
26,55.5,2.891,0.838216255015144,0.81,1.235,1.962320123793534,103.14,86.304
27,57.99999999994179,3.137,0.911188993551307,0.924999999999998,1.2735,0.425644265134818,119.78,101.76
28,61.00001111102756,2.678,0.785827403807089,0.914999999999999,1.3353,0.0,134.15,117.26
29,63.50001249992056,2.423,0.71577168705292,0.870000000000015,1.3164,0.0,139.09,124.45
30,66.00001250003697,2.256,0.670471433099204,0.730000000000008,1.2817,0.0,142.38,129.43
31,69.0,2.123,0.633938984935799,,1.2533,0.0,144.98,133.73
32,71.99998749996303,2.025,0.606691748509419,,1.265,0.0,146.69,136.32
33,74.99997222219825,1.926,0.579172737012104,,1.2459,0.0,147.88,137.76
