,t,tx,OD,CDWOD,CDW,TDA,O2,CO2,His,Thr,Val,Trp,Phe,Ile,Leu,Lys,Glc,Man,Nag
0,0.0,0.0,0.02,0.00476,,-0.018,0.0,0.0,0.768292,1.239381,1.450854,1.263196,1.4817885,0.929266,1.425262,1.4408155,1.303,1.26,1.3065
1,2.499999999941792,2.499999999941792,0.0288,0.0068544,,-0.016,-0.011227,0.015152,0.7883875,1.2661075,1.4713475,1.2783435,1.503469,0.938834,1.43238,1.44687,1.276,1.2185,1.2735
2,5.000000000058208,5.000000000058208,0.041,0.009758,,-0.01,0.054126,0.077034,0.8058855,1.28392,1.4910395,1.309406,1.532653,0.9512785,1.456813,1.4896905,1.2675,1.1925,1.2585
3,7.5,7.5,0.064,0.015232,,0.007,0.16989,0.18867,0.776812,1.2339695,1.446567,1.2699315,1.486117,0.9271315,1.414594,1.4411135,1.3035,1.1745,1.264
4,9.999999999941792,9.999999999941792,0.108,0.025712745993001,,0.042,0.45072,0.3877,0.771103,1.2216845,1.435819,1.2702805,1.4858655,0.924114,1.4021585,1.4339485,1.327,1.1085,1.2365
5,12.500000000058208,12.500000000058208,0.18,0.042907426286971,,0.0981,0.88287,0.70812,0.7630675,1.2123105,1.406249,1.263316,1.4890455,0.90959,1.3717035,1.4140645,1.3375,0.994,1.143
6,15.0,15.0,0.2625,0.062607751769936,0.064,0.1688,1.6421,1.2691,0.738436,1.172774,1.352085,1.2322145,1.4422275,0.8833575,1.318884,1.3494695,1.3245,0.7995,0.984
7,17.499999999941792,17.499999999941792,0.4022,0.096003842685252,,0.2599,2.8417,2.2075,0.7122355,1.1363945,1.2799755,1.196502,1.3974735,0.8488735,1.2537785,1.2757275,1.3225,0.6155,0.8445
8,20.000000000058208,20.000000000058208,0.587,0.140258960451309,0.139999999999996,0.4,4.4398,3.428,0.7391835,1.2004565,1.1851845,1.117634,1.3074335,0.80431,1.1702175,1.1732165,1.325,0.308,0.5945
9,22.5,22.5,0.861,0.205958757956721,0.249999999999995,0.5663,6.656,5.1501,0.6479295,1.0499825,1.0574495,1.1086885,1.261615,0.746056,1.053393,1.0836245,1.3815,0.0,0.2815
